学号,姓名,1.1 同底数幂的乘法_作业等级,1.1 同底数幂的乘法_课堂任务单,1.1 同底数幂的乘法_改错情况,1.2 幂的乘方与积的乘方_作业等级,1.2 幂的乘方与积的乘方_课堂任务单,1.2 幂的乘方与积的乘方_改错情况,1.3 同底数幂的除法_作业等级,1.3 同底数幂的除法_课堂任务单,1.3 同底数幂的除法_改错情况,1.4 整式的乘法_作业等级,1.4 整式的乘法_课堂任务单,1.4 整式的乘法_改错情况,1.5 平方差公式_作业等级,1.5 平方差公式_课堂任务单,1.5 平方差公式_改错情况,1.6 完全平方公式_作业等级,1.6 完全平方公式_课堂任务单,1.6 完全平方公式_改错情况,1.7 整式的除法_作业等级,1.7 整式的除法_课堂任务单,1.7 整式的除法_改错情况,第一章 整式的乘除_单元检测成绩(测试),2.1 两条直线的位置关系_作业等级,2.1 两条直线的位置关系_课堂任务单,2.1 两条直线的位置关系_改错情况,2.2 探索直线平行的条件_作业等级,2.2 探索直线平行的条件_课堂任务单,2.2 探索直线平行的条件_改错情况,2.3 平行线的性质_作业等级,2.3 平行线的性质_课堂任务单,2.3 平行线的性质_改错情况,2.4 用尺规作角_作业等级,2.4 用尺规作角_课堂任务单,2.4 用尺规作角_改错情况,第二章 相交线与平行线_单元检测成绩(测试),3.1 用表格表示的变量间关系_作业等级,3.1 用表格表示的变量间关系_课堂任务单,3.1 用表格表示的变量间关系_改错情况,3.2 用关系式表示的变量间关系_作业等级,3.2 用关系式表示的变量间关系_课堂任务单,3.2 用关系式表示的变量间关系_改错情况,3.3 用图象表示的变量间关系_作业等级,3.3 用图象表示的变量间关系_课堂任务单,3.3 用图象表示的变量间关系_改错情况,第三章 变量之间的关系_单元检测成绩(测试),4.1 认识三角形_作业等级,4.1 认识三角形_课堂任务单,4.1 认识三角形_改错情况,4.2 图形的全等_作业等级,4.2 图形的全等_课堂任务单,4.2 图形的全等_改错情况,4.3 探索三角形全等的条件_作业等级,4.3 探索三角形全等的条件_课堂任务单,4.3 探索三角形全等的条件_改错情况,4.4 用尺规作三角形_作业等级,4.4 用尺规作三角形_课堂任务单,4.4 用尺规作三角形_改错情况,第四章 三角形_单元检测成绩(测试),5.1 轴对称现象_作业等级,5.1 轴对称现象_课堂任务单,5.1 轴对称现象_改错情况,5.2 探索轴对称的性质_作业等级,5.2 探索轴对称的性质_课堂任务单,5.2 探索轴对称的性质_改错情况,5.3 简单的轴对称图形_作业等级,5.3 简单的轴对称图形_课堂任务单,5.3 简单的轴对称图形_改错情况,第五章 生活中的轴对称_单元检测成绩(测试),6.1 感受可能性_作业等级,6.1 感受可能性_课堂任务单,6.1 感受可能性_改错情况,6.2 频率的稳定性_作业等级,6.2 频率的稳定性_课堂任务单,6.2 频率的稳定性_改错情况,6.3 等可能事件的概率_作业等级,6.3 等可能事件的概率_课堂任务单,6.3 等可能事件的概率_改错情况,第六章 概率初步_单元检测成绩(测试)
11,测试学生11,B-,合格,合格,C,不合格,合格,A,合格,未改错,C,合格,未改错,B-,合格,未改错,B-,合格,未改错,未交,合格,未改错,99,C,合格,合格,未交,未交,合格,C,不合格,未改错,B-,合格,未改错,97,C,合格,未改错,未交,合格,未改错,未交,未交,未改错,98,C,合格,合格,B-,合格,未改错,C,合格,未改错,未交,合格,合格,94,B-,合格,未改错,B-,不合格,未改错,未交,未交,未改错,99,B-,不合格,未改错,未交,合格,合格,B-,合格,合格,100
12,测试学生12,A-,优秀,优秀,A+,优秀,良好,A+,优秀,良好,A+,优秀,优秀,A-,良好,优秀,A-,良好,优秀,A,良好,优秀,135,A,优秀,良好,A,良好,良好,A,优秀,优秀,A,优秀,优秀,143,A+,优秀,优秀,A+,优秀,良好,A,优秀,优秀,123,A+,良好,优秀,A,优秀,良好,A,良好,良好,A+,良好,优秀,139,A-,优秀,优秀,A+,优秀,良好,A,优秀,良好,149,A-,良好,良好,A-,优秀,良好,A,优秀,良好,134
13,测试学生13,未交,合格,合格,C,不合格,合格,C,不合格,合格,B-,不合格,合格,C,合格,合格,A,未交,合格,B-,不合格,未改错,88,C,不合格,合格,C,合格,合格,C,合格,合格,C,不合格,未改错,89,未交,不合格,未改错,B-,合格,合格,B-,合格,合格,95,B-,不合格,合格,未交,不合格,未改错,未交,未交,未改错,B-,合格,合格,101,未交,合格,未改错,未交,合格,合格,未交,未交,合格,87,C,未交,未改错,C,未交,未改错,C,未交,合格,104
14,测试学生14,A+,良好,良好,A+,优秀,优秀,A+,优秀,优秀,C,优秀,良好,A,良好,良好,A,良好,良好,A,良好,优秀,150,C,良好,优秀,A+,良好,良好,A,优秀,优秀,A,良好,良好,132,A,良好,良好,A-,良好,良好,A-,良好,优秀,150,A-,良好,良好,A-,良好,良好,A,良好,优秀,A-,良好,优秀,136,A-,优秀,良好,A-,优秀,良好,A+,良好,良好,150,A,优秀,优秀,A+,优秀,良好,A-,良好,良好,150
15,测试学生15,B-,不合格,合格,C,未交,合格,未交,不合格,合格,C,不合格,未改错,B-,合格,未改错,未交,不合格,合格,C,未交,未改错,97,C,合格,未改错,B-,未交,合格,B-,不合格,合格,B-,未交,合格,68,B-,未交,合格,B-,未交,合格,未交,合格,未改错,92,C,不合格,未改错,C,合格,合格,未交,不合格,合格,C,合格,合格,80,B-,合格,未改错,C,未交,未改错,B-,未交,合格,91,B-,合格,未改错,A,未交,合格,B-,未交,合格,100
16,测试学生16,A-,良好,优秀,A-,良好,良好,A+,优秀,良好,A+,良好,良好,A-,优秀,良好,A+,优秀,优秀,A+,优秀,优秀,133,A+,优秀,良好,A+,良好,优秀,A+,良好,良好,A-,优秀,优秀,150,A,优秀,良好,A,优秀,良好,A,优秀,优秀,150,C,良好,优秀,A,优秀,良好,A,优秀,良好,A+,优秀,良好,141,A+,良好,优秀,A+,优秀,优秀,A,优秀,良好,143,A+,良好,优秀,A+,良好,良好,A+,优秀,优秀,150
17,测试学生17,未交,未交,合格,A,不合格,未改错,未交,合格,未改错,C,未交,合格,B-,未交,合格,C,合格,未改错,C,合格,合格,99,未交,未交,未改错,未交,合格,未改错,未交,不合格,合格,B-,未交,未改错,94,未交,未交,未改错,B-,不合格,合格,A,未交,合格,105,A,合格,合格,B-,合格,合格,未交,合格,未改错,C,未交,未改错,89,C,未交,合格,未交,未交,合格,B-,合格,合格,97,B-,合格,合格,未交,未交,未改错,B-,合格,未改错,86
18,测试学生18,A-,良好,良好,B+,良好,合格,B+,合格,合格,A-,良好,合格,B-,良好,合格,B+,良好,合格,A-,良好,良好,126,B-,良好,良好,B-,合格,合格,B,合格,合格,B,合格,合格,131,B+,合格,合格,B+,良好,合格,B,良好,合格,111,B+,良好,良好,B-,合格,良好,B,合格,良好,B,良好,合格,122,B,良好,合格,B-,良好,良好,A-,良好,合格,124,A-,合格,良好,B+,良好,合格,B+,良好,良好,124
19,测试学生19,B-,未交,未改错,B-,合格,合格,C,合格,未改错,C,未交,未改错,B-,合格,未改错,C,不合格,未改错,B-,合格,未改错,106,C,合格,合格,C,未交,合格,B-,不合格,合格,C,不合格,未改错,102,C,不合格,未改错,C,合格,合格,B-,不合格,合格,104,C,未交,合格,C,未交,未改错,未交,不合格,未改错,C,合格,未改错,88,B-,不合格,合格,B-,合格,合格,C,未交,合格,92,B-,合格,未改错,B-,未交,未改错,C,未交,未改错,95
20,测试学生20,A-,优秀,良好,A+,优秀,良好,A+,优秀,优秀,A,优秀,良好,A+,优秀,良好,A,良好,优秀,A+,优秀,良好,146,A,良好,优秀,A,良好,良好,C,良好,良好,A-,良好,优秀,133,A+,优秀,优秀,A,良好,良好,A+,优秀,优秀,150,A+,优秀,优秀,A,优秀,优秀,A+,良好,优秀,A-,优秀,优秀,143,A+,优秀,优秀,A+,良好,良好,A-,优秀,良好,150,A-,良好,良好,A,优秀,优秀,A,优秀,良好,150
21,测试学生21,A+,优秀,优秀,A-,良好,优秀,A,优秀,优秀,A,优秀,良好,A,良好,优秀,A+,良好,良好,A-,良好,优秀,132,A-,优秀,优秀,A+,良好,优秀,A,优秀,优秀,A-,优秀,优秀,141,A,良好,良好,A,良好,良好,A-,良好,优秀,131,A-,优秀,优秀,A,良好,优秀,A+,良好,良好,未交,未交,未改错,124,A+,良好,良好,A+,优秀,优秀,A-,良好,良好,136,A-,良好,良好,A,良好,良好,A,优秀,良好,130
22,测试学生22,A-,良好,优秀,A,优秀,良好,A+,良好,优秀,A+,优秀,优秀,未交,未交,未改错,A+,良好,良好,A-,良好,良好,134,A-,优秀,优秀,A-,良好,良好,C,优秀,优秀,A,良好,良好,128,A+,良好,优秀,A-,优秀,良好,A,优秀,优秀,134,A+,优秀,优秀,A-,良好,良好,A-,良好,优秀,A+,良好,良好,136,A+,优秀,良好,A,优秀,优秀,A-,良好,优秀,131,未交,未交,未改错,A+,优秀,优秀,A+,良好,良好,138
23,测试学生23,C,未交,未改错,A,不合格,合格,B-,不合格,未改错,B-,合格,未改错,C,合格,未改错,C,不合格,未改错,未交,未交,未改错,93,B-,未交,合格,C,合格,合格,B-,不合格,未改错,未交,不合格,未改错,96,C,未交,合格,B-,不合格,未改错,C,合格,未改错,82,C,合格,合格,B-,未交,未改错,C,合格,未改错,C,未交,合格,86,B-,不合格,合格,C,不合格,合格,未交,不合格,合格,79,A,未交,合格,C,合格,未改错,C,不合格,合格,90
24,测试学生24,A+,优秀,优秀,A,优秀,良好,A-,良好,优秀,A+,优秀,优秀,A,优秀,优秀,A-,优秀,优秀,A+,良好,良好,145,A-,优秀,良好,A,良好,良好,A-,良好,良好,A,优秀,优秀,150,A-,优秀,优秀,A-,良好,优秀,A-,优秀,良好,144,A-,优秀,良好,A+,优秀,优秀,A+,良好,良好,A-,良好,良好,147,A,良好,良好,A-,优秀,优秀,A,良好,优秀,149,A+,良好,良好,A+,良好,良好,A,良好,良好,137
25,测试学生25,C,不合格,未改错,C,不合格,未改错,C,不合格,未改错,未交,未交,未改错,未交,合格,合格,未交,不合格,未改错,未交,合格,合格,85,C,未交,合格,B-,未交,未改错,B-,未交,合格,未交,未交,未改错,97,B-,未交,未改错,C,未交,未改错,C,合格,合格,87,B-,未交,未改错,未交,合格,未改错,B-,未交,合格,C,不合格,合格,96,C,不合格,未改错,B-,不合格,合格,C,不合格,未改错,79,C,未交,未改错,未交,不合格,合格,C,不合格,合格,96
26,测试学生26,B-,合格,未改错,C,合格,合格,B-,合格,合格,B-,未交,合格,未交,不合格,合格,未交,不合格,未改错,B-,未交,合格,85,C,合格,未改错,C,不合格,未改错,B-,合格,合格,未交,合格,合格,87,B-,未交,合格,B-,合格,未改错,未交,未交,合格,101,C,合格,未改错,未交,合格,未改错,未交,不合格,合格,A,合格,合格,95,未交,未交,未改错,C,合格,合格,未交,未交,合格,88,C,不合格,未改错,B-,合格,未改错,未交,未交,未改错,96
27,测试学生27,C,不合格,合格,C,未交,合格,C,不合格,合格,C,合格,合格,C,未交,未改错,未交,不合格,未改错,A,合格,未改错,104,C,不合格,合格,B-,未交,合格,C,合格,未改错,A,不合格,合格,98,未交,合格,合格,C,未交,未改错,C,不合格,未改错,82,B-,未交,未改错,未交,未交,未改错,B-,未交,未改错,A,不合格,未改错,89,C,不合格,未改错,B-,合格,未改错,未交,未交,合格,96,C,不合格,未改错,C,合格,未改错,C,不合格,合格,89
28,测试学生28,未交,未交,未改错,C,未交,未改错,C,未交,合格,未交,合格,未改错,B-,未交,合格,B-,合格,合格,C,合格,未改错,106,未交,未交,未改错,C,不合格,合格,未交,不合格,合格,未交,未交,未改错,85,B-,合格,未改错,未交,合格,合格,未交,不合格,合格,108,B-,不合格,合格,A,合格,未改错,B-,不合格,未改错,C,未交,未改错,117,未交,合格,未改错,未交,不合格,合格,B-,不合格,合格,99,A,合格,未改错,未交,合格,合格,B-,合格,未改错,78
29,测试学生29,C,未交,未改错,B-,不合格,未改错,未交,合格,未改错,B-,未交,未改错,C,不合格,合格,A,未交,未改错,未交,未交,合格,98,C,不合格,未改错,C,合格,未改错,B-,合格,未改错,未交,不合格,合格,100,未交,合格,未改错,C,合格,合格,未交,未交,合格,104,未交,合格,合格,未交,不合格,合格,B-,未交,未改错,C,未交,未改错,93,B-,合格,合格,未交,合格,合格,B-,不合格,未改错,92,B-,不合格,合格,C,合格,未改错,B-,合格,合格,98
30,测试学生30,C,优秀,良好,A-,良好,优秀,A+,良好,优秀,A-,良好,优秀,A,良好,良好,A,优秀,良好,A+,良好,优秀,146,A,良好,良好,A,优秀,优秀,A+,良好,优秀,A,优秀,良好,150,A,良好,优秀,A+,优秀,优秀,A+,良好,良好,148,A,优秀,良好,A-,良好,优秀,A,优秀,优秀,A,良好,优秀,150,A-,优秀,良好,A-,良好,良好,A,优秀,优秀,150,A-,优秀,优秀,A,优秀,优秀,A-,良好,优秀,148
31,测试学生31,B-,不合格,合格,未交,未交,合格,未交,不合格,未改错,C,未交,未改错,未交,不合格,合格,C,未交,未改错,B-,未交,合格,104,B-,未交,未改错,未交,不合格,未改错,C,合格,合格,未交,合格,未改错,101,未交,不合格,合格,未交,不合格,未改错,未交,合格,未改错,102,未交,未交,未改错,A,未交,未改错,C,合格,合格,C,合格,合格,80,未交,不合格,合格,未交,合格,合格,未交,未交,合格,90,未交,不合格,合格,C,合格,合格,未交,合格,合格,94
32,测试学生32,A,良好,良好,A,良好,良好,A,良好,优秀,A,优秀,优秀,A,良好,良好,A-,优秀,良好,A-,优秀,优秀,144,A,良好,优秀,A,优秀,良好,A+,良好,优秀,A,优秀,良好,150,A+,优秀,良好,A-,优秀,优秀,A+,良好,良好,150,A+,良好,良好,A+,良好,良好,A+,良好,优秀,A-,优秀,良好,150,A+,良好,良好,A+,良好,优秀,A+,优秀,良好,150,A,优秀,良好,A+,良好,优秀,A-,良好,优秀,143
33,测试学生33,A-,良好,良好,A+,优秀,优秀,A,优秀,优秀,A,良好,良好,A,良好,良好,未交,未交,未改错,A,良好,良好,145,A,良好,良好,A+,优秀,良好,A+,优秀,良好,A,良好,优秀,145,A-,优秀,优秀,A,优秀,优秀,A-,优秀,优秀,141,A-,良好,良好,A+,优秀,良好,A+,优秀,良好,A+,良好,良好,142,A,优秀,良好,A,优秀,良好,A-,优秀,良好,150,A+,良好,良好,A+,良好,良好,A+,优秀,优秀,150
34,测试学生34,A-,优秀,优秀,A,良好,优秀,A,良好,优秀,A-,优秀,良好,C,良好,优秀,A+,优秀,良好,A-,良好,优秀,141,A,优秀,良好,A-,优秀,优秀,A+,优秀,良好,A-,良好,良好,147,A+,优秀,良好,A-,优秀,优秀,A,优秀,良好,150,A,优秀,优秀,A+,良好,优秀,A+,优秀,良好,A+,良好,良好,147,A+,优秀,良好,A+,优秀,良好,A+,良好,良好,150,A,良好,良好,A+,良好,优秀,A+,良好,优秀,150
35,测试学生35,A+,良好,优秀,A+,优秀,优秀,A-,优秀,良好,A-,优秀,良好,A+,良好,优秀,A,优秀,良好,C,良好,良好,120,C,优秀,优秀,A-,良好,良好,A-,优秀,良好,A+,良好,良好,126,A+,优秀,良好,A-,优秀,良好,A,优秀,优秀,142,A+,优秀,优秀,A-,优秀,良好,A-,良好,良好,C,良好,优秀,118,A,优秀,良好,A-,优秀,良好,C,优秀,优秀,134,A,良好,良好,A-,优秀,良好,A+,良好,优秀,124
36,测试学生36,A,优秀,优秀,A+,良好,优秀,A-,良好,优秀,A+,优秀,良好,A,优秀,良好,A-,良好,优秀,A+,优秀,优秀,147,A+,优秀,良好,A,优秀,良好,A-,优秀,优秀,A-,良好,优秀,141,A+,良好,良好,A+,优秀,优秀,A+,良好,良好,150,未交,未交,未改错,A,优秀,优秀,A,良好,良好,A,优秀,良好,142,A,优秀,良好,A,优秀,良好,A-,良好,良好,150,A+,优秀,良好,A,良好,优秀,A+,良好,优秀,131
37,测试学生37,A-,良好,优秀,A-,良好,良好,A-,优秀,优秀,A,优秀,优秀,A,优秀,优秀,A-,良好,优秀,A-,良好,优秀,137,A,良好,优秀,A-,优秀,良好,A,优秀,优秀,A-,优秀,良好,148,A,优秀,良好,A+,优秀,优秀,A+,良好,优秀,141,A,良好,良好,A-,优秀,优秀,A,良好,优秀,A-,良好,优秀,146,A-,良好,良好,A+,良好,良好,A,良好,良好,142,A,优秀,优秀,A,优秀,优秀,A-,优秀,优秀,150
38,测试学生38,C,合格,未改错,C,合格,合格,未交,不合格,合格,B-,不合格,未改错,C,未交,未改错,B-,未交,合格,未交,合格,未改错,91,C,未交,未改错,C,不合格,未改错,C,不合格,未改错,未交,未交,未改错,108,未交,未交,未改错,未交,未交,未改错,B-,未交,合格,97,B-,未交,合格,B-,合格,合格,B-,不合格,合格,未交,未交,未改错,82,未交,合格,未改错,B-,合格,合格,C,未交,合格,81,C,合格,未改错,B-,合格,未改错,B-,不合格,合格,84
39,测试学生39,C,优秀,优秀,A+,优秀,良好,A,良好,优秀,A+,优秀,优秀,A-,优秀,良好,A-,良好,优秀,A+,优秀,优秀,142,A+,优秀,良好,A,良好,良好,A,优秀,优秀,A-,良好,良好,150,C,优秀,良好,A,优秀,良好,A+,优秀,优秀,144,A+,良好,优秀,A-,良好,良好,A-,良好,良好,A+,良好,优秀,150,A-,优秀,良好,A,良好,优秀,A-,优秀,优秀,150,C,优秀,良好,A,良好,优秀,A+,良好,良好,140
40,测试学生40,A-,优秀,优秀,A-,优秀,良好,A,优秀,良好,A-,良好,优秀,A+,良好,良好,A,优秀,优秀,未交,未交,未改错,143,未交,未交,未改错,A+,优秀,优秀,A-,良好,良好,A+,良好,良好,150,A+,良好,优秀,A-,良好,良好,A+,良好,优秀,149,A+,优秀,优秀,A,良好,良好,A-,良好,良好,A,优秀,良好,149,A+,良好,良好,A-,良好,优秀,A+,优秀,良好,150,A+,良好,良好,A-,良好,优秀,A,优秀,良好,150
41,测试学生41,B-,合格,合格,C,合格,未改错,未交,不合格,合格,C,未交,未改错,未交,不合格,未改错,B-,合格,未改错,C,合格,未改错,89,未交,不合格,未改错,未交,未交,合格,C,不合格,未改错,B-,不合格,未改错,78,B-,不合格,未改错,C,不合格,未改错,C,合格,合格,84,未交,不合格,合格,C,未交,未改错,C,不合格,合格,A,不合格,合格,86,C,合格,未改错,C,未交,合格,A,未交,合格,82,未交,未交,合格,未交,未交,未改错,未交,合格,未改错,76
42,测试学生42,未交,合格,未改错,C,未交,合格,C,未交,合格,C,合格,合格,B-,未交,合格,B-,合格,未改错,B-,合格,未改错,91,B-,不合格,未改错,B-,未交,合格,B-,未交,未改错,C,未交,合格,86,C,合格,未改错,未交,合格,合格,未交,合格,未改错,107,C,合格,合格,未交,合格,未改错,B-,未交,未改错,C,未交,未改错,91,B-,不合格,合格,B-,不合格,未改错,B-,合格,未改错,91,未交,未交,合格,未交,合格,未改错,未交,未交,未改错,75
43,测试学生43,A-,良好,良好,A+,良好,优秀,A,优秀,良好,A-,优秀,优秀,A,良好,优秀,A+,良好,优秀,A-,良好,良好,150,A,优秀,良好,A+,优秀,良好,A,良好,良好,A-,优秀,优秀,141,A+,良好,良好,A+,优秀,优秀,A,优秀,优秀,135,A-,良好,优秀,A,良好,良好,A-,良好,优秀,A+,良好,良好,146,A,优秀,良好,C,优秀,优秀,A,优秀,良好,150,A,优秀,良好,A-,良好,良好,C,良好,良好,150
44,测试学生44,A+,优秀,优秀,A,良好,良好,A+,优秀,良好,A,优秀,良好,A-,优秀,良好,C,优秀,优秀,A-,优秀,良好,115,C,优秀,良好,A-,优秀,良好,A-,良好,良好,A-,良好,良好,134,A+,优秀,良好,A+,良好,优秀,A,优秀,优秀,140,A,优秀,良好,A+,优秀,良好,A+,良好,优秀,A-,良好,优秀,127,A-,良好,优秀,A-,优秀,优秀,A+,良好,良好,130,A-,优秀,良好,A-,良好,优秀,A,良好,优秀,138
