学号,姓名,1.1 等腰三角形_作业等级,1.1 等腰三角形_课堂任务单,1.1 等腰三角形_改错情况,1.2 直角三角形_作业等级,1.2 直角三角形_课堂任务单,1.2 直角三角形_改错情况,1.3 线段的垂直平分线_作业等级,1.3 线段的垂直平分线_课堂任务单,1.3 线段的垂直平分线_改错情况,1.4 角平分线_作业等级,1.4 角平分线_课堂任务单,1.4 角平分线_改错情况,第一章 三角形的证明_单元检测成绩(测试),2.1 不等关系_作业等级,2.1 不等关系_课堂任务单,2.1 不等关系_改错情况,2.2 不等式的基本性质_作业等级,2.2 不等式的基本性质_课堂任务单,2.2 不等式的基本性质_改错情况,2.3 不等式的解集_作业等级,2.3 不等式的解集_课堂任务单,2.3 不等式的解集_改错情况,2.4 一元一次不等式_作业等级,2.4 一元一次不等式_课堂任务单,2.4 一元一次不等式_改错情况,2.5 一元一次不等式与一次函数_作业等级,2.5 一元一次不等式与一次函数_课堂任务单,2.5 一元一次不等式与一次函数_改错情况,2.6 一元一次不等式组_作业等级,2.6 一元一次不等式组_课堂任务单,2.6 一元一次不等式组_改错情况,第二章 一元一次不等式与一元一次不等式组_单元检测成绩(测试),3.1 图形的平移_作业等级,3.1 图形的平移_课堂任务单,3.1 图形的平移_改错情况,3.2 图形的旋转_作业等级,3.2 图形的旋转_课堂任务单,3.2 图形的旋转_改错情况,3.3 中心对称_作业等级,3.3 中心对称_课堂任务单,3.3 中心对称_改错情况,第三章 图形的平移与旋转_单元检测成绩(测试),4.1 因式分解_作业等级,4.1 因式分解_课堂任务单,4.1 因式分解_改错情况,4.2 提公因式法_作业等级,4.2 提公因式法_课堂任务单,4.2 提公因式法_改错情况,4.3 公式法_作业等级,4.3 公式法_课堂任务单,4.3 公式法_改错情况,第四章 因式分解_单元检测成绩(测试),5.1 认识分式_作业等级,5.1 认识分式_课堂任务单,5.1 认识分式_改错情况,5.2 分式的乘除法_作业等级,5.2 分式的乘除法_课堂任务单,5.2 分式的乘除法_改错情况,5.3 分式的加减法_作业等级,5.3 分式的加减法_课堂任务单,5.3 分式的加减法_改错情况,5.4 分式方程_作业等级,5.4 分式方程_课堂任务单,5.4 分式方程_改错情况,第五章 分式与分式方程_单元检测成绩(测试),6.1 平行四边形的性质_作业等级,6.1 平行四边形的性质_课堂任务单,6.1 平行四边形的性质_改错情况,6.2 平行四边形的判定_作业等级,6.2 平行四边形的判定_课堂任务单,6.2 平行四边形的判定_改错情况,6.3 三角形的中位线_作业等级,6.3 三角形的中位线_课堂任务单,6.3 三角形的中位线_改错情况,6.4 多边形的内角和与外角和_作业等级,6.4 多边形的内角和与外角和_课堂任务单,6.4 多边形的内角和与外角和_改错情况,第六章 平行四边形_单元检测成绩(测试)
20,测试学生20,A,优秀,优秀,A-,优秀,优秀,A,优秀,优秀,A,优秀,优秀,144,未交,未交,未改错,A-,良好,优秀,A+,优秀,优秀,A-,良好,优秀,A,良好,优秀,A-,优秀,优秀,138,A-,良好,良好,A+,良好,优秀,A-,优秀,优秀,141,A+,优秀,良好,A-,优秀,良好,A-,良好,优秀,140,A,良好,优秀,A-,良好,良好,A-,良好,优秀,C,良好,良好,131,A-,良好,优秀,A+,良好,良好,A,良好,优秀,未交,未交,未改错,136
21,测试学生21,B,良好,合格,B,良好,合格,B-,合格,良好,B,合格,良好,132,B-,良好,良好,B-,合格,合格,B-,良好,合格,A-,合格,良好,A-,良好,良好,A-,合格,良好,120,B-,合格,良好,A-,合格,良好,B-,良好,合格,128,B+,合格,良好,B-,合格,良好,A-,良好,合格,119,B-,良好,合格,A-,良好,合格,B,良好,合格,B-,良好,合格,123,B-,良好,合格,B-,良好,合格,B,良好,合格,B,良好,合格,132
22,测试学生22,B-,合格,良好,B,良好,良好,B-,合格,良好,B-,良好,良好,120,B+,合格,合格,A-,合格,良好,B-,良好,良好,B-,合格,良好,B+,良好,良好,B+,良好,良好,126,B+,良好,合格,B,良好,合格,B-,合格,合格,102,B,合格,良好,B,合格,良好,A-,良好,合格,118,B-,良好,良好,B,良好,合格,B-,良好,良好,B+,合格,良好,115,B-,合格,合格,B+,合格,良好,B,良好,良好,未交,未交,未改错,122
23,测试学生23,C,不合格,合格,未交,未交,未改错,C,合格,未改错,未交,合格,合格,83,C,合格,合格,C,合格,未改错,未交,合格,合格,C,合格,合格,C,未交,合格,B-,合格,未改错,84,未交,未交,合格,未交,未交,未改错,未交,合格,未改错,77,未交,合格,未改错,C,未交,合格,未交,不合格,合格,72,A,不合格,未改错,B-,不合格,未改错,未交,合格,未改错,B-,不合格,未改错,67,C,未交,合格,B-,不合格,未改错,未交,未交,未改错,未交,未交,合格,85
24,测试学生24,A-,良好,良好,A-,良好,优秀,A,良好,优秀,A,优秀,良好,136,A,优秀,良好,A-,良好,良好,A,优秀,良好,A-,优秀,优秀,A+,优秀,良好,A+,良好,良好,143,A,优秀,优秀,A-,优秀,优秀,A-,良好,良好,138,A+,优秀,良好,A+,良好,良好,A+,良好,良好,135,A+,优秀,优秀,A-,优秀,优秀,C,良好,良好,A-,优秀,优秀,138,A,优秀,优秀,A,优秀,良好,A+,良好,良好,A,优秀,良好,129
25,测试学生25,B-,未交,合格,C,未交,合格,B-,未交,合格,未交,未交,未改错,77,B-,未交,未改错,C,合格,合格,C,不合格,未改错,未交,不合格,未改错,C,未交,未改错,未交,合格,合格,77,B-,合格,合格,未交,未交,合格,A,未交,合格,75,未交,合格,合格,未交,合格,合格,B-,未交,未改错,70,A,不合格,合格,C,未交,未改错,A,合格,合格,B-,未交,未改错,83,B-,不合格,合格,B-,不合格,未改错,未交,合格,合格,未交,未交,未改错,80
26,测试学生26,未交,合格,未改错,B-,不合格,合格,未交,未交,合格,B-,不合格,未改错,81,未交,未交,合格,未交,不合格,未改错,C,不合格,合格,B-,不合格,合格,B-,合格,合格,B-,不合格,未改错,82,未交,不合格,未改错,C,未交,合格,未交,合格,合格,75,B-,合格,未改错,B-,不合格,未改错,B-,未交,未改错,95,C,合格,未改错,未交,未交,合格,B-,合格,合格,C,合格,未改错,82,B-,不合格,未改错,C,不合格,合格,未交,合格,合格,未交,未交,合格,72
27,测试学生27,A,未交,合格,B-,不合格,未改错,未交,不合格,未改错,未交,合格,合格,74,未交,不合格,未改错,C,不合格,未改错,A,合格,合格,C,不合格,未改错,未交,不合格,合格,未交,合格,合格,74,B-,不合格,未改错,B-,未交,合格,B-,合格,合格,64,未交,未交,合格,B-,不合格,合格,C,合格,合格,79,A,未交,合格,未交,不合格,合格,未交,合格,合格,C,未交,未改错,72,未交,不合格,未改错,A,未交,未改错,未交,未交,未改错,C,合格,合格,67
28,测试学生28,未交,未交,合格,C,不合格,未改错,未交,合格,未改错,未交,合格,未改错,87,C,不合格,未改错,C,合格,未改错,B-,不合格,合格,C,未交,合格,B-,不合格,未改错,未交,未交,合格,86,未交,未交,未改错,B-,未交,合格,C,未交,合格,81,A,未交,合格,C,未交,未改错,C,合格,合格,59,B-,未交,合格,未交,未交,合格,未交,不合格,未改错,B-,不合格,合格,80,B-,合格,合格,B-,合格,未改错,未交,不合格,合格,未交,未交,未改错,72
29,测试学生29,C,不合格,合格,C,合格,合格,未交,合格,未改错,B-,未交,合格,81,未交,未交,合格,B-,不合格,合格,未交,不合格,未改错,C,未交,合格,B-,不合格,合格,B-,未交,未改错,87,未交,未交,未改错,B-,不合格,未改错,B-,不合格,未改错,68,B-,合格,未改错,B-,未交,合格,C,不合格,未改错,85,B-,合格,未改错,未交,不合格,未改错,A,合格,未改错,A,合格,未改错,92,C,未交,合格,未交,合格,合格,B-,不合格,合格,未交,未交,未改错,71
30,测试学生30,A-,优秀,良好,未交,未交,未改错,A,良好,优秀,A+,优秀,优秀,138,A+,良好,优秀,A-,优秀,优秀,A-,良好,优秀,A,良好,优秀,A-,优秀,优秀,A+,优秀,优秀,143,A,优秀,良好,A-,优秀,良好,A-,良好,优秀,132,未交,未交,未改错,A+,良好,优秀,A,良好,优秀,122,A+,优秀,优秀,A-,优秀,良好,A-,优秀,优秀,A+,优秀,良好,135,A,良好,良好,A-,良好,良好,A-,良好,良好,A+,良好,优秀,137
31,测试学生31,B-,未交,合格,未交,未交,合格,B-,合格,未改错,未交,合格,未改错,79,C,未交,合格,未交,未交,未改错,C,未交,未改错,未交,不合格,未改错,B-,不合格,未改错,B-,合格,未改错,82,C,不合格,合格,未交,未交,未改错,未交,不合格,未改错,91,未交,未交,合格,B-,未交,合格,C,合格,合格,80,C,合格,合格,C,不合格,未改错,未交,未交,未改错,B-,不合格,合格,67,未交,合格,合格,B-,合格,合格,未交,未交,未改错,C,不合格,合格,81
32,测试学生32,A,良好,优秀,A+,优秀,良好,C,优秀,良好,A+,优秀,良好,126,A,优秀,良好,未交,未交,未改错,A+,优秀,良好,A,优秀,优秀,A,良好,优秀,A+,优秀,良好,147,A-,优秀,良好,A+,良好,优秀,A,良好,优秀,131,A,良好,优秀,A-,优秀,良好,A+,良好,良好,126,A,良好,良好,A+,良好,优秀,A,优秀,良好,A-,良好,优秀,140,A,优秀,优秀,A+,优秀,良好,A-,优秀,良好,A,良好,优秀,146
33,测试学生33,A+,优秀,优秀,A+,优秀,优秀,A+,良好,良好,A+,良好,优秀,144,A-,优秀,良好,A,优秀,良好,A+,良好,优秀,A-,优秀,优秀,A-,良好,优秀,A,优秀,优秀,134,A-,优秀,优秀,A+,优秀,良好,A+,良好,优秀,135,A-,优秀,优秀,A-,优秀,优秀,A-,优秀,优秀,148,A+,良好,良好,A+,优秀,优秀,C,优秀,优秀,C,良好,良好,132,A+,优秀,优秀,A-,良好,良好,A+,良好,良好,A+,良好,优秀,139
34,测试学生34,A,优秀,良好,A-,优秀,良好,A-,优秀,优秀,A,优秀,良好,150,A,良好,良好,A+,优秀,良好,A,良好,良好,A,优秀,良好,A+,良好,良好,A-,优秀,良好,137,A+,良好,优秀,A-,优秀,良好,A-,优秀,优秀,141,A,优秀,优秀,A,良好,优秀,A+,优秀,良好,137,A-,良好,优秀,A+,优秀,良好,A,良好,良好,A-,优秀,良好,150,A+,良好,良好,A-,优秀,优秀,C,良好,优秀,A,良好,良好,149
35,测试学生35,A-,良好,良好,B,良好,合格,B,良好,合格,B,合格,合格,115,B,良好,良好,B-,合格,良好,A-,合格,良好,A-,合格,合格,B+,合格,合格,A-,良好,合格,115,B+,合格,良好,B,良好,良好,B+,良好,良好,107,B-,良好,合格,B-,良好,良好,B,良好,合格,120,B-,良好,良好,B-,良好,合格,B,良好,良好,未交,未交,未改错,118,B,良好,良好,B-,良好,合格,B,合格,良好,B+,良好,合格,103
36,测试学生36,A+,良好,优秀,A,优秀,优秀,A+,优秀,优秀,C,良好,优秀,143,A,优秀,良好,A,良好,优秀,A-,良好,优秀,A-,良好,优秀,A-,优秀,良好,A+,优秀,良好,143,A,优秀,良好,A,良好,优秀,A,优秀,优秀,133,C,优秀,优秀,A-,良好,优秀,A+,优秀,良好,150,C,优秀,良好,A+,良好,优秀,A,良好,良好,A,良好,优秀,128,A,优秀,良好,A-,良好,良好,A+,良好,良好,A-,优秀,优秀,130
37,测试学生37,A-,良好,良好,A,优秀,优秀,A-,优秀,良好,A+,良好,良好,140,A+,优秀,优秀,A+,良好,优秀,A,良好,优秀,A,优秀,良好,A,优秀,良好,A-,优秀,优秀,150,C,良好,良好,A+,优秀,优秀,A,优秀,优秀,131,A-,优秀,优秀,A,优秀,优秀,A+,优秀,优秀,138,A+,良好,良好,A-,优秀,优秀,A+,良好,良好,A+,优秀,良好,143,A,良好,良好,A,良好,优秀,C,优秀,优秀,A,良好,良好,125
38,测试学生38,C,不合格,未改错,未交,未交,未改错,C,不合格,未改错,A,合格,未改错,69,C,不合格,合格,未交,合格,合格,未交,合格,合格,未交,合格,未改错,未交,未交,未改错,B-,未交,未改错,79,未交,未交,未改错,C,未交,合格,B-,未交,未改错,79,未交,合格,合格,B-,未交,未改错,B-,未交,未改错,91,C,不合格,合格,未交,合格,合格,未交,未交,未改错,B-,未交,未改错,82,未交,合格,未改错,未交,未交,合格,C,未交,未改错,未交,合格,未改错,86
39,测试学生39,A,优秀,良好,C,良好,良好,A,优秀,优秀,A+,优秀,良好,132,A,优秀,良好,A-,优秀,优秀,A+,良好,优秀,A,良好,良好,A-,良好,良好,A-,良好,良好,135,C,优秀,良好,A,良好,优秀,A-,优秀,优秀,122,A+,优秀,优秀,A,良好,优秀,A+,优秀,优秀,131,A,优秀,良好,A-,良好,良好,A-,良好,优秀,A+,优秀,良好,140,A,优秀,良好,A+,优秀,优秀,A-,优秀,优秀,A-,优秀,优秀,121
40,测试学生40,A,优秀,良好,A-,优秀,优秀,A,优秀,良好,A+,优秀,优秀,128,A-,良好,良好,A,优秀,优秀,A,优秀,良好,未交,未交,未改错,A,良好,优秀,A-,优秀,良好,150,A+,优秀,优秀,A,良好,优秀,C,良好,良好,150,A-,优秀,优秀,A+,优秀,良好,A+,优秀,优秀,137,C,优秀,良好,A,良好,良好,A,良好,良好,A-,良好,优秀,137,A+,良好,良好,A,优秀,良好,A,优秀,优秀,A-,良好,良好,130
41,测试学生41,B-,不合格,合格,未交,未交,未改错,C,不合格,未改错,C,不合格,合格,62,C,不合格,未改错,B-,未交,未改错,C,未交,未改错,未交,未交,未改错,C,合格,合格,C,不合格,未改错,77,未交,合格,合格,C,未交,未改错,A,合格,合格,59,C,不合格,未改错,B-,合格,未改错,未交,合格,未改错,71,B-,不合格,未改错,未交,未交,未改错,未交,合格,未改错,未交,未交,未改错,66,未交,不合格,未改错,B-,合格,合格,未交,未交,合格,A,未交,未改错,68
42,测试学生42,B-,不合格,合格,C,合格,合格,B-,不合格,未改错,B-,合格,未改错,68,未交,未交,合格,未交,未交,合格,B-,未交,未改错,C,合格,未改错,B-,合格,合格,未交,未交,未改错,81,B-,合格,合格,B-,合格,合格,未交,合格,合格,85,C,合格,合格,未交,合格,合格,B-,未交,未改错,81,B-,不合格,合格,B-,合格,合格,未交,未交,未改错,未交,不合格,合格,74,A,不合格,合格,未交,不合格,未改错,C,未交,未改错,C,未交,未改错,103
43,测试学生43,A-,优秀,优秀,A,良好,优秀,A+,优秀,优秀,A-,良好,良好,132,A,优秀,良好,A+,优秀,良好,A,优秀,良好,A+,良好,优秀,A-,优秀,良好,A,良好,良好,132,A-,优秀,良好,A+,良好,良好,A,良好,良好,142,A-,良好,优秀,A-,良好,优秀,A+,良好,良好,126,A-,良好,良好,A+,优秀,优秀,A+,优秀,良好,A+,优秀,优秀,134,C,良好,优秀,C,良好,良好,C,良好,优秀,A+,优秀,优秀,135
44,测试学生44,B+,合格,良好,A-,合格,良好,B-,合格,合格,B,合格,良好,116,B,良好,良好,B+,合格,良好,B-,合格,合格,B-,良好,良好,B,合格,良好,B-,合格,合格,120,A-,合格,良好,B-,合格,合格,A-,合格,良好,120,A-,良好,良好,A-,合格,合格,A-,合格,良好,124,A-,合格,良好,B-,良好,良好,B+,合格,良好,B,良好,合格,123,B+,合格,合格,B-,合格,合格,B,良好,良好,B-,良好,良好,111
45,测试学生45,C,不合格,未改错,A,不合格,未改错,未交,合格,未改错,未交,合格,未改错,70,未交,合格,未改错,C,合格,合格,A,合格,合格,C,合格,合格,A,合格,未改错,B-,未交,未改错,85,B-,未交,未改错,未交,合格,未改错,未交,不合格,合格,83,C,合格,未改错,未交,不合格,合格,C,合格,未改错,65,B-,未交,未改错,C,合格,合格,B-,不合格,未改错,B-,未交,未改错,77,未交,不合格,未改错,C,不合格,未改错,C,合格,合格,C,不合格,未改错,81
46,测试学生46,B-,良好,良好,B+,合格,良好,B+,合格,合格,A-,合格,合格,120,B,合格,合格,B-,合格,良好,A-,合格,良好,A-,合格,合格,B,合格,良好,B-,良好,合格,107,B+,合格,合格,A-,合格,良好,B,合格,良好,114,B-,良好,合格,B,合格,合格,B-,良好,合格,124,B,良好,良好,B+,良好,良好,B-,合格,良好,B-,良好,合格,130,B-,良好,良好,A-,良好,良好,B+,合格,合格,B,合格,良好,118
